,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,64,0.3,32,0.001,0.01826065,11
2,64,0.2,32,0.001,0.02314821,11
3,128,0.2,32,0.0005,0.03354587,11
4,128,0.3,32,0.001,0.03855178,11
5,32,0.1,32,0.001,0.04386019,13
6,32,0.2,32,0.001,0.04585748,12
7,32,0.1,16,0.001,0.04596832,11
8,32,0.3,16,0.001,0.04792982,11
9,32,0.3,32,0.001,0.04921075,12
10,64,0.3,32,0.0005,0.0497078,12
11,128,0.3,32,0.0005,0.05492436,11
12,128,0.1,32,0.0005,0.05730147,11
13,32,0.3,32,0.0005,0.0600356,14
14,128,0.1,32,0.001,0.06045923,11
15,32,0.2,16,0.001,0.06310729,11
16,64,0.1,32,0.0005,0.06689807,12
17,64,0.2,16,0.0005,0.06835561,11
18,64,0.1,32,0.0001,0.0685951,14
19,128,0.1,16,0.0001,0.07143147,13
20,64,0.2,32,0.0005,0.07360101,14
21,128,0.1,32,0.0001,0.07418747,13
22,64,0.1,32,0.001,0.07653251,12
23,64,0.1,16,0.001,0.07973756,11
24,64,0.1,16,0.0005,0.08018815,11
25,64,0.3,16,0.0005,0.08178604,12
26,128,0.3,32,0.0001,0.08220069,15
27,128,0.2,32,0.0001,0.08347814,16
28,64,0.3,32,0.0001,0.0884413,21
29,32,0.3,16,0.0005,0.09246961,12
30,32,0.1,32,0.0005,0.09398738,14
31,32,0.1,16,0.0005,0.09435257,11
32,64,0.2,16,0.001,0.09571157,12
33,64,0.3,16,0.0001,0.0986166,15
34,32,0.3,32,0.0001,0.09914527,33
35,32,0.1,32,0.0001,0.10178394,32
36,128,0.1,16,0.0005,0.10226712,11
37,32,0.2,16,0.0005,0.10651631,12
38,64,0.3,16,0.001,0.10948952,11
39,128,0.2,32,0.001,0.11166058,11
40,32,0.2,32,0.0001,0.11198846,30
41,32,0.1,16,0.0001,0.11256891,16
42,64,0.2,32,0.0001,0.11475776,18
43,128,0.2,16,0.0001,0.11630131,13
44,128,0.3,16,0.0001,0.11647249,12
45,64,0.2,16,0.0001,0.1168922,17
46,64,0.1,16,0.0001,0.11857592,17
47,32,0.2,32,0.0005,0.11892803,13
48,128,0.2,16,0.001,0.12496802,12
49,32,0.2,16,0.0001,0.12500168,19
50,128,0.3,16,0.0005,0.12562849,12
51,128,0.2,16,0.0005,0.1282413,12
52,128,0.1,16,0.001,0.13629951,11
53,128,0.3,16,0.001,0.14140183,13
54,32,0.3,16,0.0001,0.19220757,19
